613,12
605,20
818,66
849,167
823,47
639,161
766,60
836,107
680,161
634,38
750,200
1290,378
233,494
1347,186
1222,346
914,691
196,171
1116,560
1381,522
1061,569
373,183
308,90
1100,157
1378,201
828,726
240,401
951,273
609,483
579,211
1392,304
293,116
336,153
1009,686
1213,694
465,161
456,16
172,615
1076,243
791,666
1187,415
1193,46
659,652
588,240
1280,292
1182,363
1276,128
812,523
823,391
78,507
221,640
157,750
581,744
109,499
1248,145
16,309
490,423
659,706
285,477
1000,218
693,52
298,414
565,614
251,54
406,35
1348,165
425,303
305,494
271,208
343,526
735,121
842,280
1032,21
1396,684
365,149
222,450
1427,281
90,728
1075,40
89,334
13,689
1232,122
921,396
1424,88
1058,485
246,228
489,14
675,466
871,174
520,743
262,661
286,143
239,316
898,210
291,516
965,357
1182,626
1138,529
102,126
1077,683
955,544
173,264
1009,625
675,515
852,117
755,307
1336,10
375,655
158,194
529,39
90,487
394,544
1121,293
1124,125
289,529
89,534
543,617
693,572
859,386
578,238
745,29
309,237
1269,590
1197,36
1347,462
624,632
978,562
741,273
265,590
913,334
1346,676
14,118
1157,651
1172,407
1088,532
1140,308
1228,125
147,725
91,293
1280,353
997,617
1358,613
615,12
1186,341
748,53
1249,384
530,167
415,514
1391,404
639,166
1119,677
372,98
1335,607
693,563
1071,298
748,277
1194,502
1172,752
1377,745
213,612
26,476
1214,87
1014,610
260,268
1242,570
861,157
985,697
993,377
103,282
149,648
1389,671
229,237
1195,759
1387,188
870,671
190,729
217,345
989,118
433,299
584,266
314,231
584,306
375,266
373,199
567,287
407,280
474,258
584,210
1187,590
1190,600
1201,630
1220,639
1230,650
1240,660
1250,670
1260,680
1290,690
1350,700
1380,720
1440,730
1470,750
-1
