10,91
30,158
50,49
70,126
90,144
110,16
130,149
150,117
170,61
190,159
210,80
230,102
250,155
270,36
290,134
310,137
330,29
350,153
370,107
390,74
410,159
430,68
450,112
470,151
490,23
510,140
530,130
550,42
570,157
590,97
610,85
630,159
650,55
670,121
690,146
710,10
730,146
750,121
770,55
790,159
810,85
830,97
850,157
870,42
890,130
910,140
930,23
950,151
970,112
990,68
1010,159
1030,74
1050,107
1070,153
1090,29
1110,137
1130,134
1150,36
1170,155
1190,102
1210,80
1230,159
1250,61
1270,117
1290,149
1310,16
1330,144
1350,126
1370,49
1390,158
1410,91
1430,91
1450,158
1470,49
1490,126
1510,144
1530,16
1550,149
1570,117
1590,62
1610,159
1630,80
1650,102
1670,155
1690,36
1710,134
1730,137
1750,29
1770,153
1790,107
1810,74
1830,159
1850,68
1870,112
10,281
30,348
50,239
70,316
90,334
110,206
130,339
150,307
170,251
190,349
210,270
230,292
250,345
270,226
290,324
310,327
330,219
350,343
370,297
390,264
410,349
430,258
450,302
470,341
490,213
510,330
530,320
550,232
570,347
590,287
610,275
630,349
650,245
670,311
690,336
1776,955
1805,902
1801,964
1671,909
1675,906
1703,947
1802,953
1645,957
1763,955
1765,916
1829,946
1783,948
1717,923
1707,911
1742,924
1665,900
1748,905
1756,909
1711,916
1743,960
1725,953
1752,927
